file,participant,condition,conflict_text,p_right,t_right,perceived_pt,age,gender,race,race_other
1b,397,pt,"I had a bad grade in a class and it was completely my fault. The father sat me down and discussed my grades and he wanted to get involved. I have always been one to advocate for myself so hearing that he wants to get involved immediately """"woke me up""""and I got angry and immediately went to the teacher and turned around all of my mistakes. I understand his mindset of if he didn't step in that nothing would change. But I was just pissed because I was about to deal with it and I felt I was never given a chance to deal with my issues. The only thing I feel that he had right is that yes my grade was bad but I didn't realize it was bad until about an hour before he sat me down so there was nothing I could have done.",7,2,5,18,male,,
1b,404,pt,"N.I.N. Is a persons initials. This person used to be a part of my friends circle when I resided in Phoenix AZ. Unfortunately he had a very serious mental illness that he was not upfront with me or my other friend about. This obviously left us as friends from being able to accommodate his needs. This led to various conflicts with other friends in our circle. This brought about two incidents involving the police, one in which my one friend had been put in a threatened position.  We did try to work with this individual for almost a year after discovering about the illness. However the nature of our relationships morphed into something toxic, manipulative an undesirable for both myself as well as my other friend. From this individualâ€™s perspective, this person felt that they had developed a monogamous relationship with with my other friend when that person had indicated multiple times, over and over, that they had not wished to peruse anything outside of a platonic friendship. This message was not received by the individual for just about a year, where they simply tried to try the same approach repeatedly expecting a different result.",6,1,6,23,male,,
1b,415,pt,"I struggle with anxiety and depression. Because of my mental illnesses, it is very hard for me to complete daily tasks. One of these tasks includes walking the dog. My mom does not suffer from anxiety or depression. She is unable to understand what that feels like. She gets really frustrated with me when I don't offer to walk the dogs. I get really frustrated with her when she doesn't understand that I am struggling. She does not understand unless I am visibly crying. I do not like to have to cry in order for my mom to understand how I am feeling. I understand that from an outside pov it would seem like I am being lazy. But that is the complete opposite of what I am. I try fighting against my own brain all the time which takes lots of effort.",5,4,6,19,female,,
1b,450,pt,"I've had many debates with my Mom about the election. She believes that Biden is a great candidate, but I disagree, saying that I'm just gonna settle for Biden. One of the main points of contention is she thinks Biden is doing a good job garnering support for his policies, rather than just painting himself as the better option to Trump. I disagreed, believing that he should be more aggressive with his policies and attack the Republican Party more, but he doesn't. I think that he shouldn't be focusing on convincing Trump supporters to switch over, but to rather encourage his own base that he will be a good president. From my Mom's perspective, I think she thinks that because I'm young I don't know enough about politics to know what is the appropriate course of action. I also don't think she gives enough attention to this conflict anyways. I on the other hand really want her to see that the politics she is taking a part in is actually hurting the left-wing movement more than it's helping. We need to be more aggressive with our progressive values, and that's how we gain more support. She also wants us to focus on unifying the country, which I don't think is possible.",6,3,5,18,male,,
1b,453,pt,"I was diagnosed with depression in spring of 2018, and had been dealing with it for a while up until that point. I had kept it to myself because I didn't want to worry my parents, but it turned out they were completely understanding of the situation. So, after a couple of months of therapy, I revealed that I was having some suicidal thoughts, and as by protocol, my therapist called my parents in to talk about it. I panicked and really unloaded everything that I was feeling, so they had no other option but to take me to a mental hospital so that I would be safe. It was very traumatizing and I cursed my parents the entire way, because I felt like they were abducting me and making do something I didn't want to do because I felt fine and okay. However, in hindsight, they were just worried about me and wanted me to get the best care possible. Anyways, I eventually left and went home, where we had a huge argument over the situation: essentially my parents were super frightened and out of their depth and had no idea what to do, and I was extremely scared of going back to the hospital. A lot of insults were traded, all of which I regret and I'm sure they did too. In the end, I slept in my own bed that night and ended up getting the help that I needed.",1,6,5,18,male,,
1b,459,pt,"The tangled conflict is a conflict I had between my friend and I. This conflict was about whether or not we were being good friends to each other. She felt that I was not being a good friend because I wasn't spending enough quality time with her. I felt she was not being a good friend because she wasn't understanding that I was constantly busy and had a lot on my plate. We had a conversation about it, but it didn't really go anywhere. She was sad I didn't make time to spend with her which I tried to understand. What she didn't understand was that I had a lot going on with my life that I couldn't talk to her about it. We came to the conclusion in the end that I would try to spend more time with her and she would try to understand my schedule. A conversation like this is very hard to have with a friend especially when I have different views on a relationship. Eventually the relationship worked out even though the tangled time we had.",4,4,4,19,female,,
1b,465,pt,"I moved into a house with seven people at the beginning of this academic year. Everyone moved in before me, as I had to fly up from California. One of my six roommates ended up testing positive for Covid and let all of us know. Everyone decided it would be best if everyone got tested, to make sure no one else has it. One of my roommates, Gina, refused to get tested. She said she believed that it was unnecessary and unfair because she did not have any symptoms. Iâ€™m sure she was upset because all of us were â€œganging up on herâ€ and telling her that we all think she should get tested. We tried to compromise, and she wore a mask inside for a few days, but she did not end up getting tested.",7,2,6,19,female,,
1b,483,pt,"This summer I was driving back from a roadtrip with two of my close friends. We were on the last few hours of the 15 hour drive and it was my turn to drive. I was getting really tired and frustrated and just wanted to get home. I made some snappy and snide comments and obviously they took note. They were then getting mad about what I said and one was convinced that I was mad at her about something. I told her I wasent mad at her, but thougth her tone was a little agressive and she was handling a delicate situation wrong.  She said that I was being senstive and needed to grow up or something. I said that was mean and that she was handling the situation wrong and we both kept making it worse.",4,2,3,20,female,,
1b,490,pt,"I just want them to turn the stupid thing off and be in the real world. I'm a little worried for their ability to go into the real world after all this junk theyre watching on the TV. But even if I turn it off they'll just complain, so I might as well leave it on. Ugh, but I hate the cartoon voices, why do shows for children have to be so fake? The characters aren't even teaching him anything except how to make fart jokes. Disneys really changed since I was a kid, and when I was a kid at least I got off the TV when asked",4,4,2,19,female,,
1b,491,pt,"One day I was skiing at the mountian in my home town. I was with my friend and we were messing around on the chairlift yelling out to those below us. We yelled at on man and said """"Great line there bud"""" after he crashed. The man got very angry because I was giving him a hard time for falling and exclaimed """"I'll see you at the bottom"""". My friend and I laughed and brushed it off but when we returned the bottom of the lift the man was waiting. He must had been waiting 25 mintues for us to complete our run. At this point I was a little scared that a physical altercation was going to break out, but the man said """"Since you made fun of my line, lets see whos is better. Lets race"""". He said this in a cocky tone thinking he was going to best a young man in a race because he had been skiing longer.  We made it to the top of the lift and the man told me to pick a run but I refused and allowed him to chose the run. I clipped in my back foot and tightened my front foot. My friend counted us down and we took off. He bested me off the line but I quickly gained ground on him. I didn't let off even after the man was no where to be seen. I made it to the bottom, half expecting the man to have beaten me. After 6 mintues I saw the man come out of the trees. He said """"Wow I wasn't even close, I guess you get to talk shit"""". He got on the chair and left.",4,5,4,18,male,,
1b,511,pt,"In this conflict, me and my coworker disagreed on weather we should commit a certain recruit or not. I think my coworker was fearful that we wouldn't have enough recruits to complete our class and was willing to sacrifice skill to have a secure player for a number on the team. I think there is a fear that recruits will not want to play for us.  If a recruit really likes us it is easier to want offer them because you are more certain you will not face rejection. I think my coworker thought we could make them far better then they currently were.  I think my coworker is stressed and frustrated.  It is hard to keep searching for the perfect recruit when you are limited in ways to recruit them or you have not seen them play enough. I think my coworker was relying on the opinions of others to sway her decision. I think she was ok in doin this perhaps she trusts their opinion more than her own, it was hard to tell.",5,4,4,30,female,,
1b,514,pt,"We had a final in our AP Gov class where we had to remake a Christmas song into other lyrics regarding gov. My friend said that she was going to edit the video. The editing included adding the Christmas background music, putting all of the clips in sequential order, and adding captions. However, when the video was presented in class, it was extremely messy and not done correctly. I felt very embarrassed as it was in front of everyone, and I relied on my friend to finish it. I know that she was going through a hard time, so I gave her the benefit of the doubt and was very stern telling her to communicate properly. I feel like the project could have been much better if she just communicated properly. We ended up fixing the project which was a relief, but it was just embarrassing that we had to face the whole class with a project that was not the best.",3,7,6,18,female,,
1b,531,pt,"At my family gathering a few years ago, my mother put my sister and I in charge of getting a pie for the event. This usually is fine but this year my sister and I were having very different opinions on the type of pie and since we were already fighting this worsened the situation. My mother became very mad at us for not choosing and we both were very blinded by our own sides that she ended up choosing for us. While this did not alleviate the conflict my mom did remove one stressor from the situation. Because now my sister and I were mad at each other with nothing to fight with over because of a lack of pie needs from my mother. We eventually gave up on the anger as siblings usually do but the conflict ruined the pie.",4,4,5,18,female,,
1b,550,pt,"This conflict occurred between myself and my ex boyfriend and was something we argued about on more than one occasion. My boyfriend struggled to save money, budget, or spend appropriately so it always happened to be me who was the money manager. I paid the bills and gave my ex the leftover money at the end of the month. From his perspective, he deserved to use his money the way he wanted to, and regardless of previous mistakes he had made financially prior to this conversation he believed that he deserved another shot at being the money manager. I talked to him several times about why it would be better for everyone if I was responsible for our financial affairs' but he remained in his position that he deserved another shot. I also know through conversations with him that these actions made him feel inferior to me which in turn created some resentful toward me and I was coming across as aggressive, which was never my intention. In the end we did agree that I would continue to manage our money, but that I could be more lenient on the spending he was allowed to do.",6,3,6,26,female,,
1b,551,pt,"This is one of those conflicts/fights you have, in which, you think you're completely in the right, when the situation is two-sided in reality. One of my best friends from high school, let's call her Anna, and I stayed friends for about a year after our first year of university. We would text and stay in contact during that year as much as long-distance friends could. I even helped her move into her new apartment in downtown Portland when I came home from school (out of state). Anna, two other friends, and I would often hang out together--however, occasionally we would hang out without Anna, which we thought to be an okay thing to do. This would make Anna upset, but in our minds we didn't feel the need to invite Anna every-time. Anna is extremely social and had a lot of friends that she would hang out with without us. I understand how Anna might've felt bummed that we were hanging out without her, or how she might've felt like we were consciously excluding her. A few months pass, while everyone is at school, and I came home to visit again. I made plans with Anna (before leaving for school for another 4 months), in which I had to bus all the way downtown and then walk to her apartment. We hung out, only for her to tell me 20 minutes later that she made plans with someone else and has to leave. This made our friendship feel worthless and made me feel very bad, however, maybe that's how she was feeling in previous situations.",5,4,5,19,female,,
1b,557,pt,"A few years ago, I left my house to go to a baseball game that my family was already at. My mom was at dinner with friends nearby. I looked at my phone after exiting the driveway to put in directions. As I was looking at my phone briefly, I ended up swerving into my neighbors' car parked on the street. I was going maybe 10 mph and it shook me up. I had some light bruises from the impact and cried immediately because I couldn't believe what had just happened. The neighbors were home and came outside because they heard the crash. I called my mom and she was livid. They left their dinner to come get me. She couldn't believe that I was looking at my phone while being in the driver's seat of my car. She was thankful that I was safe and not injured, but overwhelmingly upset with me. She trusted me to be driving responsibly and safely, and I had just lost that trust. My parents paid for my car, so they were even more mad because this was on their dime. I had to get another car since the one I crashed was """"totaled"""" and would be too expensive to fix. We resolved the issue by getting another car, but this time, I had to pay for it. They also made me pay for the damage to my neighbors' car. They were mad at me for a while, but they were reassured because they knew I had definitely learned my lesson, even though it was the hard way.",2,6,7,20,female,,
1b,562,pt,"My parents were very set on the fact that they did not want me to attend college in person. I was very set on going to college in person. We had many conversations, but particularly one big argument about me going to college. It ended quite badly for both of us. The argument got very heated and my parents threatened to kick me out. I'm sure they were just nervous about the pandemic but they took the argument too far. I know they were just concerned about my safety. Yet, the things they said are things you probably shouldn't say to your child. The end result was the decision for me to go to college.",5,3,6,19,female,,
1b,563,pt,"All through high school I participated and competed regularly for my high school cheer team. I was almost always in the best stunt group, which is a group of 3-5 girls that """"stunts"""" together. When a stunt goes wrong, it can be multiple people's fault, or just one. During my senior year, I had lots of experience and generally when a stunt went wrong, it wasn't my fault. When it was my fault I would admit my wrongs. One particular time my stunt fell, the entire group was ganging up on each other and blaming one another for the group falling. We didn't know how to move forward, because if you don't know what went wrong, you can't plan a course of action to fix it. I'm sure the other girls felt like I did when accused of doing something wrong, hurt and hard headed. It's hard to admit when you're wrong, especially when it could have possibly injured someone. Worst case scenario, our coach would make us do it again to figure out the issue.",6,2,5,18,female,,
1b,566,pt,Friendship wars is about the time I stopped being friends with my old best friends. I guess I never really thought about how she felt but I'm sure she did not feel great about this. When I told her I no longer wanted to be friends she asked if we could talk and I said no. She probably felt alone and wondered why I wanted to stop being friends. I just stopped talking to her and gave her no explanation and she probably also thought about how much of a jerk I was. I was a young kid when I did this. We fought a lot and I just felt that we should stop being friends.I am not sure if she agreed with me about us fighting but I never actually gave her a chance to explain herself and gave her side of the story.,5,5,7,18,female,,
1b,584,pt,"My junior year of highschool we had a big English assignment due for finals. Someone who I considered a friend at the time asked me to be in her group. I agreed and we began to plan. I noticed early on that I was doing the majority of the work outlining the project, but figured she would pull her weight for the stuff I assigned her to do. When it came down to a few days before the assignment I had finished all of my work and noticed that she hadn't. She began to tell me that she did not have time to do it and if someone could help her because she was assigned alot. In reality, she was assigned an equal amount as all the group members and we had two weeks to do it. I was angry but need to consider how her feelings were at play. She could have actually been having a tough couple weeks and I should have been more compassionate about that.",5,5,6,18,female,,
1b,597,pt,I went out to dinner with friends and didn't invite one of our friends because she stopped hanging out with everyone. She expressed that she felt left out but she stopped hanging out with us first.,5,3,5,19,female,,
1b,601,pt,"During my senior year of high school, our soccer team was very close. However, one girl was constantly dragging on everyone which definetly brought the vibe of the whole group down. It had somewhat started the year before but had escallated further this year. She made it hard or the whole team to ond because she would scare the new girls and irritate everyone else. A teammate of mine thought I should be the one to talk to her and explain how everyone else felt. I didnt think I was in the right because we had problems with the way she talked to me on the field the year before. The other girl had been on the team since freshman year while I had only been there for a year. I felt she should talk to her becaus they used to be close and could bond over a mutal respect thing. But she felt coming from me she would respond better because she thought she respected me more. Even though we both thought someone should say something because we thought it was going to hurt the team in the long run and we owed it to her to show her where everyone else was comign from.",4,5,5,18,female,,
1b,631,pt,"This conflict revolves around roomates and the shared roles of cleaning. One of our roommates in particular has never contributed to cleaning the kitchen and shared spaces, leaving most of the cleaning to be done by the rest of us. This roommate has acknowledged their lack of cleaning and will always state they will do better. However, they lack on the side of keeping up their end of the deal, which eventually returns to them not cleaning. I think at times this roommate can feel targeted/outnumbered because all of us are frustrated at them for never cleaning.",7,1,6,20,male,,
1b,632,pt,The other person was upset that I didn't communicate my feelings and that I was upset. They thought I was being immature for not communicating my feelings. This person enjoyed my company but not enough to commit to somethingI had been thinking about in my head.,4,2,2,20,female,,
1b,633,pt,"I live with two other people and I am definitely closer to one over the other. The three of us have been friends for 2 years now and the fact that two of us are closer than the other makes it complicated. The roommate I am less close to approached me about feeling left out and blamed it completely on me. This resulted in hurting my feelings and she didn't listen to/consider my side of the story. I understand it would be hard to feel left out and excluded, but me and my roommate that I am closer to make a conscious effort every day to include her and do things as a group. She made it seem like it was my issue completely even though there are 3 of us in the friend group. I am glad she felt she could approach me but she could have done it in a way in which my feelings were considered more.  I don't have any more to say on this situation.",6,3,5,20,female,,
1b,639,pt,"My friend has been dating a boy for a few weeks. She really wants to keep a relationship with him because she hasn't had a successful relationship in a while, despite not really enjoying it. I think she knows she doesn't actually want to be with him but just wants a relationship. After they were intimate for the first time she told me about some things he did that made her uncomfortable. I told her that she should tell him she doesn't want to see him anymore because even if he didn't intend to make her uncomfortable, he should have known better and not have asked her to do the things he did. I think she's feeling a lot of anxiety about what to do next because she wants to continue the idealized relationship she thought this would be like in the beginning. I also know that she's very empathetic and doesn't want to hurt him because she knows he really likes her. However, I don't think that you should stay with someone because you could hurt their feelings, or bet on it getting better. I've told her that she should break it off before things get serious and if he even made her a little uncomfortable, she should look for someone who's more respectful. She agrees that this isn't a relationship she wants and all of her other friends agree she should tell him she no longer wants to see him. I was in a similar situation recently and also didn't want to end my relationship because I didn't want to hurt the feelings of the guy I was dating so I understand where she's coming from, but I don't want her to have to worry about this relationship when it's clearly not right for her.",5,5,6,20,female,,
1b,648,pt,"Some of my old friends from high school would say a lot of homophobic and racist slurs. The first time this happened was at a Christmas party. One of my friends started saying it, then some of the other ones started using them too. They were all white and straight. The rest of my friends and I told them not to use those words and that they were racist and homophobic. Their argument was that it was all a joke, and it was fine because there wasn't any Black people or queer people around. At the time, I was in the closet, so they thought their words weren't really effecting anyone and we were just being too serious. My community was mostly white, and while it was fairly progressive, most of the anti-racism and anti-homophobia amongst teens was performative because there simply weren't enough People of Color or visible queer people around to make them feel like they had to change their behavior. So for them, they thought they were just following the norm and their actions weren't really offending anyone, which made it ok.",7,1,5,18,female,,
1b,650,pt,"My school conflict was a big conversation that I had with my parents about whether or not to take a gap year during the quarantined and online learning part of 2020. I personally had lost a lot of motivation to do school since covid hit, and wanted to take the year to take a break from school and work. My parents were on the complete opposite end of this and believed I should go to school for the entire year starting in the summer because otherwise I would never go back to school. I felt very frustrated about this perspective of theirs because I feel like they were not taking into account my mental health and my lack of motivation. however, as my parents I do understand where they were coming from, because I do have a tendency to be spontaneous, lazy, and make big decisions for myself without fully thinking it through. I think that they had this in mind with the fear that I would not find the motivation to go back to school. While this was valid, I always felt frustrated because I know deep down that even if I did take a year off, I have always been committed to getting my Bachelor's degree. It was frustrating for me that they didn't always see that.",4,3,5,19,female,,
1b,25,control,"My cousin TJ was a heroin addict and dealer for many years. Within this time, he was in and out of rehab and prison. My family essentially cut ties with him. I did not support this decision and fought against it as I thought it would be best to try and constructively support him so he had a base to grow from.",6,2,3,21,male,,
1b,35,control,Mom wanted to do the Keto diet. I explained to her that the Keto diet isn't super healthy and that it can lead to weight gain ultimately. She said she knew several people who were successful with it. I asked how long they had been doing it for. She said a few months. I explained that once they began to eat carbs again they would gain their weight back and possibly more. She said I didn't know what i was talking about it. I explained the science behind it. She said she knew more than I did from her several years in school. I tried to reason with her again but she ultimately disagreed with me.,7,1,7,21,female,,
1b,54,control,When I was in high school I was the captain of my water polo team. We went to a tournament for the second weekend in a row. We were all exhausted and by the second weekend we were totally over it. My co-captains and I had to try to keep the energy with the team. One of the co-captains Emily started complaining even though I was sick for both of these weekends. I told her she was being a baby and if she really couldn't handle one more game that she should just go home. She got all upset and yelled at me and then left. She got a sandwich and realized she was just hangry the whole time. We made up and then played the last game.,5,3,3,19,female,,
1b,60,control,Bedtime conflict was a conflict I had with my roomate about the apporpriate time to go to sleep. She went to sleep very late. I go to sleep around 10:30 which I belive is very resonable. We disagreed on the time which would cause issues. I didn't mind her not going to bed the same time as me but she kept her lights on and would facetime her boyfrined. This would make it hard for me to fall asleep. I would address her about it and nothing really changed. Soon enough I was able to fall asleep with the lights on. Other nights though it would take me until she would go to bed at around 3 am to go to sleep because she was being so loud.,7,1,2,19,female,,
1b,71,control,"My college roommate and I became best friends very early on in the year and immediately told each other every detail about our lives. I have always been a positive person and I tend to always be happy and outgoing. I would consider myself to be very extroverted and I have a difficult time understanding that other people need time alone. In the second term, my roommate started needing space because she was super stressed and that caused a little bit of hostility between us. I have always needed to tell people when im upset to easy my mind and so I went to our other friend Lydia to have someone to listen to my concerns about my relationship with my roommate/ best friend. After getting peace of mind and advice from our other friend. I went to my roommate that night to express how I was feeling and in the process, I ended up telling my roommate that I talked to Lydia earlier in the day. She was really upset that I went to our other friend before coming to her and I automatically felt really bad and in the wrong.",3,5,6,18,female,,
1b,75,control,"My family and I were planning a road trip through the United States so that we can meet my brother in Washington DC. This was during my senior year of high school and I wanted to see colleges so I asked if we can stop by Boulder, Colorado. Everyone was on board except for my mother who was adamant on not going to Colorado at all because she felt like it was too out of the way of where she wanted to go. Everyone else wanted to see cities like Denver and Boulder but she was not and caused a huge fit. We decided to make a route in which we can go to Boulder and her cities. However, she was still not ready with that plan and threatened us by saying that she won't go on the trip. We were going to cancel until we realized that this is a once in a lifetime opportunity and that she needed to come on this trip with us. We cancelled our plans to go to Colorado and only went to the states that she went to. Although I wish we did go to Boulder, I realized that the trip was much more enjoyable with my mother and it was an amazing opportunity. This conflict made me realize the importance of compromise and giving up something that you really want to do.",7,1,5,18,male,,
1b,86,control,"I was flying back to Ohio to meet up with my high school friends, and we were all planning to do a road trip to Washington DC. At the time, we all told our parents and made sure it was ok, but the only person that didn't was James. James refused to tell his parents and just wanted to go without saying anything. James's parents ended up calling my parents because they knew something was up, and when they found out, they were not happy and did not want him to go. At the time James's brother had cancer and they were already stressed with that situation, and now they didn't want James to go on a road trip because they were worried about his safety. After hearing about this, the group decided to make other plans and not go to D.C, however James insisted and wanted to go. So at this point it was either go to D.C or not. The majority of us didn't want to go and upset his parents, while James himself didn't care and just wanted to go. At the end, we all went to D.C and I don't think his parents were ok with it. He told us not to worry about it and we went. Despite trying to provide another plan, I think we as a group didn't want to keep getting into his business and when he said the final words to go, we just went.",4,3,3,20,female,,
1b,91,control,"My mother and I had a disagreement about how different the rules for me dating as a teenager were from the rules she set out for my little brother. I pointed out that double standards were very unfair, yet she held her position, saying double standards were necessary. We argued for a couple of days. She never acknowledged where I was coming from and said that when I was a mother I would understand. However, my point was not just about me in general, but about unfair double standards that young women are facing every day. By not seeing my main point, things got worse. I think the conflict was very intense because we were both very certain we were right. I acknowledged her position but when she failed to acknowledge mine, I became frustrated. This conflict still sticks with me today. I think I will think about it when I have children of my own.",7,1,3,19,female,,
1b,93,control,"So where I live we have three cats. Two are indoor-outdoor and only one lives inside at all times. With this many cats the litter box gets full really fast. Usually it is my job to clean the litter box; however, recently I have been extremely busy with both school and work. Not only that but I have also been having really bad asthma, which the ammonia from the cat urine makes worse. Anyways because of my asthma and my busy schedule, I sometimes put off cleaning the litter box till it gets really bad. This made my boyfriend and roommate made. They say that I don't do enough around the house and that they do everything. They are not wrong, however, neither of them are in school and the barely work. I do twice as much of them and come home everyday exhausted just to have to do another 4 hours of homework. I feel it is only fair that the take it easy on me. I am only human and can't do everything. Anyways we ended up just disagreeing and I continue to clean the litter box and my other choirs.",5,3,4,18,female,,
1b,112,control,"In the cooking conflict, I was trying to make vegan banana bread. I had followed all of the instructions, and was considering adding chocolate chips to the recipe. I read the instructions on the amount of chocolate chips to add to a batch of cookies to get an idea of the amount I should add. For the cookie recipe, it said to add the whole bag of chocolate chips. Since the banana bread I was making was around the same amount of cookie dough necessary for the chocolate chip cookies, I figured I should add the whole bag. My mother was against adding the whole bag since she thought it would be too much chocolate. Since my sister and I both love chocolate, I decided to add the whole bag of chocolate chips to my banana bread.",5,5,5,18,female,,
1b,130,control,"I bought food from a store. Tried the food and didn't like it. Said it was bad and I was not going to finish it. I might throw it away. My friends said they would eat it if I didn't want it. I said no ill give it to someone when I get home. They said you're going to waste it, I didn't want to give it away because I payed for it.",2,5,3,19,female,,
1b,134,control,"The night before my roommate left to go back home, her, our friend and I hung out. She ended up going to bed within the first 30 minutes but I told her I would say bye to her the next morning. Our friend and I were kind of annoyed she wanted to hang out and then went to bed so quickly. I decided to go over to my boyfriend's house to spend the night. I was also slightly intoxicated, so I didn't think it would be that big of a deal. She messaged me in the morning and was extremely upset and made it seem like I would never see her again.",4,5,5,19,female,,
1b,136,control,"Last summer I had been dating a guy for about five months when this happened conflict happened. It was growing much more difficult to find time to spend with him once summer came around due to his work schedule and the fact that my mother hardly let me see him. She liked him well enough, but yet she hated me going out and was very strict about always knowing where I was at any given moment. This resulted in me having a phone tracker. This situation really frustrated me, but both of my parents worked every week day, so without saying anything I had my boyfriend come over when they were gone. My mom would let me go over to his house alone for days time on occasions, so I felt it was basically the same principle. However, I knew that she wouldn't like how I didn't ask permission for him to come over. She wound up coming home early for a small break, and found us watching a movie in my bed. We were both fully clothed. She screamed at him to get out, all he had to put on to leave was his shoes. Once he left she took my phone so that I couldn't speak to him. She told me if he came back to the property that she would call the cops and file a restraining order on him. Luckily I was able to text him over my laptop to not come back, otherwise I know he would have tried to come back and talk about it with her. She took my phone for 4 days and after that I was only allowed to use it when she watched. She then grounded me for an entire month, refusing me to see any of my friends or my boyfriend, and I had to cancel plans she had already agreed too letting me do. I understand she had a right to be upset, but how she handled it enraged me. My dad even later told me that it wasn't that big of a deal, but he was afraid to stand up to my mom for me.",5,2,6,19,female,,
1b,139,control,My friend found an injured bird. She wanted to take it home. I thought it was a bad idea. I tried to convince her that she should just leave it alone. She insisted on taking it home and trying to help it. The bird died a few minutes after getting home. She said the bird would have died and gotten eaten so at least it had its final moments with her.,6,4,6,19,female,,
1b,164,control,"My roommate and I got into an argument. This argument has now gone on for months and months. We were playing Spike Ball. While going for the ball, I collided with his brother. I am a lot bigger than he is so he fell but I did not. As a result, he thinks that I purposely hit his brother. I apologized after but he said it wasn't good enough. I said it was an accident so I refused to apologize again or continue to entertain this madness. We now rarely talk. I think it is all just very childish.",7,1,2,23,male,,
1b,169,control,"Heart is in reference to a conflict that I had with my now ex-girlfriend. We had dated for a quite a long time which lasted from the beginning of Summer 2019 all the way up to January 2020. The conflict was mainly about our long-distance relationship and we both were very set on making things work between the two of us. Things had been pretty steady when we left for college and we compensated for the lack of each other's physical presence by FaceTiming or sending gifts and letters. Every now and then however we'd get into some pretty heated arguments or disagreements sometimes about petty stuff. It'd be things like """"why didn't you text meas much yesterday"""" or """"are you losing feelings for me?"""" that'd just open up a whole other problems that we'd bump heads over. Eventually over winter break she brought up that she didn't know if she could do the long distance anymore and that it was really getting in the way of her mental health and focus in school. I on the other hand was completely fine with the long distance and tried my best to convince her to stay, it worked for a short while but by there end of break she was hurting even more.",5,4,5,18,male,,
1b,179,control,"My younger brother is 13 years old and has been getting more irritable. His words always have a negative twist to them. The other day I got sick of his name calling and rude comments and told him to stop. Instead of stopping he told me he was just joking and that I need to chill. I have heard that line so many times I didn't even know if he believed it anymore. I told him that even if he is joking it hurt and that I would like it if we could just get along. He starts yelling and interrupting my sentences telling me I'm a hypocrite, not backing down. I tell him that jokes are not meant to be insults and that they aren't very funny but that just makes him more angry. I trie to pull my mom into the conversation but she just tells me to leave it alone because he will never listen. I try to walk away but his angry words grow louder. They finally die down when I have nothing left to say.",6,2,6,19,female,,
1b,184,control,"This was an argument with my ex. She was still in contact with her toxic ex boyfriend. Even before we were dated we were good friends and she used to complain about him all the time. I recommended she stop talking to him because he only brought her pain. Once we started dating I stood firm on this recommendation. She agreed and stopped talking to him and blocked him. A few days later I found out she had unblocked him and was talking to him again without telling me. Obviously I was more upset that she lied to me than I was with her talking to him again. She felt bad for him and kept him in her life because she didn't want to hurt him, even though he was continually hurting her.",7,3,5,20,male,,
1b,191,control,I am in a long distance relationship. My boyfriend had been ignoring me or being short with me all day and wouldn't tell me what was wrong. I would ask him if he was upset and he would say no. Then he finally admitted to me that I hadn't been giving him enough attention lately. When he told me that I was heartbroken because I didn't know he felt that way. I apologized and promised to do better from then on. I also asked him if he could tell me sooner the next time he was feeling hurt by my actions because I do not know when I am doing something wrong unless he tells me.,4,7,7,19,female,,
1b,192,control,My parents and I had a disagreement on whether or not I should be forced to go on a beach vacation during quarantine. I didn't think I should have to but my parents thought otherwise. They think that I always get my way and were pissed off. I just didn't want to be at the beach in case girls wanted to hang out but didn't tell them that. Anyway we compromised In the end and I went for 1 day instead of 3.,7,2,3,20,male,,
1b,193,control,"My ex-boyfriend and I had a conflict over some of his friends. We're from the same hometown and when we moved to college (we both go to UO) he got a bunch of new friends. They were important to him, so I wanted them to be important to me. Well... they didn't really make me feel welcome and even though I tried, I felt like an outsider. After several weeks I mentioned to him my worries about it and he agreed. He proceeded to tell me that my social anxiety """"makes [my] friends uncomfortable"""". I have crippling anxiety and depression and this was like a slap in the face. I told him how much that hurt me and he told me that he was trying to help. His argument was that """"exposure therapy"""" helps and if I knew my anxiety was causing problems, then I would overcome it better. I told him he was a dick and it didn't help at all.",5,3,2,19,female,,
1b,204,control,There was a friend that I had who began to grow feelings for me. We started hooking up in secret because he thought there would be drama if people found out. I went along with this. After a little while people started getting suspicious and asking questions. I asked him if it would be okay if I told someone and he said no. My friend started getting upset with me because they knew what was going on even though I wouldn't say anything so I told her because it was causing problems in our friendship. The guy found out and was very upset and did some mean things. We end things after this and still don't speak,5,1,4,19,female,,
1b,205,control,"Me and my friends were doing a escape room for one of my friends birthdays. When we were in there, there was one problem that we were trying to do. It required that we take a hook and try to hook certain loops for a required key. There were two problems. One, there were so  many keys that we didn't know which one was the right one. Second, hooking the keys was very difficult. So, we had a choice to make, should we continue trying to hook all the keys and hope that we get one right, or do we continue trying to do the other problems and hope that it tells us what the right key is.",5,3,3,19,male,,
